,number,name,address,lat,lng,bikestands
0,2,BLESSINGTON STREET,Blessington Street,53.35677,-6.26814,20
1,3,BOLTON STREET,Bolton Street,53.351181,-6.269859,20
2,4,GREEK STREET,Greek Street,53.346874,-6.272976,20
3,5,CHARLEMONT PLACE,Charlemont Street,53.330662,-6.260177,40
4,6,CHRISTCHURCH PLACE,Christchurch Place,53.343369,-6.27012,20
5,7,HIGH STREET,High Street,53.343567,-6.275071,29
6,8,CUSTOM HOUSE QUAY,Custom House Quay,53.347885,-6.248048,30
7,9,EXCHEQUER STREET,Exchequer Street,53.343033,-6.263578,24
8,10,DAME STREET,Dame Street,53.344006,-6.266802,16
9,11,EARLSFORT TERRACE,Earlsfort Terrace,53.334019,-6.258371,30
10,12,ECCLES STREET,Eccles Street,53.359245,-6.269779,20
11,13,FITZWILLIAM SQUARE WEST,Fitzwilliam Square West,53.336075,-6.252825,30
12,14,FOWNES STREET UPPER,Fownes Street Upper,53.344604,-6.263371,30
13,15,HARDWICKE STREET,Hardwicke Street,53.355473,-6.264423,16
14,16,GEORGES QUAY,Georges Quay,53.347507,-6.252192,20
15,17,GOLDEN LANE,Golden Lane,53.340801,-6.267732,20
16,18,GRANTHAM STREET,Grantham Street,53.334122,-6.265436,30
17,19,HERBERT PLACE,Herbert Place,53.334431,-6.245575,30
18,21,LEINSTER STREET SOUTH,Leinster Street South,53.342178,-6.254485,30
19,22,TOWNSEND STREET,Townsend Street,53.345921,-6.254614,20
20,23,CUSTOM HOUSE,Custom House,53.348278,-6.254662,30
21,24,CATHAL BRUGHA STREET,Cathal Brugha Street,53.35215,-6.260533,20
22,25,MERRION SQUARE EAST,Merrion Square East,53.339436,-6.246548,30
23,26,MERRION SQUARE WEST,Merrion Square West,53.339764,-6.251988,20
24,27,MOLESWORTH STREET,Molesworth Street,53.34129,-6.258117,20
25,28,MOUNTJOY SQUARE WEST,Mountjoy Square West,53.3563,-6.258586,30
26,29,ORMOND QUAY UPPER,Ormond Quay Upper,53.346058,-6.268001,29
27,30,PARNELL SQUARE NORTH,Parnell Square North,53.353462,-6.265305,20
28,31,PARNELL STREET,Parnell Street,53.350929,-6.265125,20
29,32,PEARSE STREET,Pearse Street,53.344303,-6.250427,30
30,33,PRINCES STREET / O'CONNELL STREET,Princes Street / O'Connell Street,53.349014,-6.260311,23
31,34,PORTOBELLO HARBOUR,Portobello Harbour,53.33036,-6.265163,30
32,35,SMITHFIELD,Smithfield,53.347691,-6.278214,30
33,36,ST. STEPHEN'S GREEN EAST,St. Stephen's Green East,53.337826,-6.256035,40
34,37,ST. STEPHEN'S GREEN SOUTH,St. Stephen's Green South,53.337494,-6.26199,30
35,38,TALBOT STREET,Talbot Street,53.350975,-6.25294,40
36,39,WILTON TERRACE,Wilton Terrace,53.332382,-6.252717,20
37,40,JERVIS STREET,Jervis Street,53.348301,-6.266651,21
38,41,HARCOURT TERRACE,Harcourt Terrace,53.332764,-6.257942,20
39,42,SMITHFIELD NORTH,Smithfield North,53.349564,-6.278198,30
40,43,PORTOBELLO ROAD,Portobello Road,53.33009,-6.268044,30
41,44,UPPER SHERRARD STREET,Upper Sherrard Street,53.358437,-6.260641,30
42,45,DEVERELL PLACE,Deverell Place,53.351463,-6.255265,30
43,46,STRAND STREET GREAT,Strand Street Great,53.34708,-6.264192,35
44,47,HERBERT STREET,Herbert Street,53.335743,-6.24551,40
45,48,EXCISE WALK,Excise Walk,53.347778,-6.244239,40
46,49,GUILD STREET,Guild Street,53.347931,-6.240928,40
47,50,GEORGES LANE,George's Lane,53.350231,-6.279696,40
48,51,YORK STREET WEST,York Street West,53.339333,-6.264699,40
49,52,YORK STREET EAST,York Street East,53.338757,-6.262003,32
50,53,NEWMAN HOUSE,Newman House,53.337132,-6.26059,40
51,54,CLONMEL STREET,Clonmel Street,53.336021,-6.26298,33
52,55,HATCH STREET,Hatch Street,53.33403,-6.260714,36
53,56,MOUNT STREET LOWER,Mount Street Lower,53.337959,-6.24153,40
54,57,GRATTAN STREET,Grattan Street,53.33963,-6.243778,23
55,58,SIR PATRICK DUN'S,Sir Patrick's Dun,53.339218,-6.240642,40
56,59,DENMARK STREET GREAT,Denmark Street Great,53.35561,-6.261397,20
57,60,NORTH CIRCULAR ROAD,North Circular Road,53.359623,-6.260348,30
58,61,HARDWICKE PLACE,Hardwicke Place,53.357044,-6.263232,25
59,62,LIME STREET,Lime Street,53.346027,-6.243576,40
60,63,FENIAN STREET,Fenian Street,53.341427,-6.24672,35
61,64,SANDWITH STREET,Sandwith Street,53.345203,-6.247163,40
62,65,CONVENTION CENTRE,Convention Centre,53.347439,-6.238523,40
63,66,NEW CENTRAL BANK,New Central Bank,53.347122,-6.234749,40
64,67,THE POINT,The Point,53.346867,-6.230852,40
65,68,HANOVER QUAY,Hanover Quay,53.344116,-6.237153,40
66,69,GRAND CANAL DOCK,Grand Canal Dock,53.342636,-6.238695,40
67,70,BARROW STREET,Barrow Street,53.341656,-6.236198,28
68,71,KEVIN STREET,Kevin Street,53.337757,-6.267699,40
69,72,JOHN STREET WEST,John Street West,53.343105,-6.277167,31
70,73,FRANCIS STREET,Francis Street,53.342079,-6.275233,30
71,74,OLIVER BOND STREET,Oliver Bond Street,53.343891,-6.280531,30
72,75,JAMES STREET,James Street,53.343456,-6.287409,40
73,76,MARKET STREET SOUTH,Market Street South,53.342297,-6.287661,38
74,77,WOLFE TONE STREET,Wolfe Tone Street,53.348873,-6.267459,29
75,78,MATER HOSPITAL,Mater Hospital,53.359966,-6.264828,40
76,79,ECCLES STREET EAST,Eccles Street East,53.358116,-6.265601,27
77,80,ST JAMES HOSPITAL (LUAS),St James Hospital (Luas),53.341358,-6.292951,40
78,81,ST. JAMES HOSPITAL (CENTRAL),St. James Hospital (Central),53.339985,-6.295594,40
79,82,MOUNT BROWN,Mount Brown,53.341644,-6.29719,22
80,83,EMMET ROAD,Emmet Road,53.340714,-6.308191,40
81,84,BROOKFIELD ROAD,Brookfield Road,53.339005,-6.300217,30
82,85,ROTHE ABBEY,Rothe Abbey,53.338776,-6.30395,35
83,86,PARKGATE STREET,Parkgate Street,53.347973,-6.291804,38
84,87,COLLINS BARRACKS MUSEUM,Collins Barracks Museum,53.347477,-6.28525,38
85,88,BLACKHALL PLACE,Blackhall Place,53.348801,-6.281637,30
86,89,FITZWILLIAM SQUARE EAST,Fitzwilliam Square East,53.335213,-6.2509,40
87,90,BENSON STREET,Benson Street,53.344154,-6.233451,40
88,91,SOUTH DOCK ROAD,South Dock Road,53.341831,-6.231291,30
89,92,HEUSTON BRIDGE (NORTH),Heuston Bridge (North),53.347801,-6.292432,40
90,93,HEUSTON STATION (CENTRAL),Heuston Station (Central),53.346603,-6.296924,40
91,94,HEUSTON STATION (CAR PARK),Heuston Station (Car Park),53.346985,-6.297804,40
92,95,ROYAL HOSPITAL,Royal Hospital,53.343899,-6.29706,40
93,96,KILMAINHAM LANE,Kilmainham Lane,53.341805,-6.305085,30
94,97,KILMAINHAM GAOL,Kilmainham Gaol,53.342113,-6.310015,40
95,98,FREDERICK STREET SOUTH,Frederick Street South,53.341515,-6.256853,40
96,99,CITY QUAY,City Quay,53.346638,-6.246154,30
97,100,HEUSTON BRIDGE (SOUTH),Heuston Bridge (South),53.347107,-6.292041,25
98,101,KING STREET NORTH,King Street North,53.350292,-6.273507,30
99,102,WESTERN WAY,Western Way,53.354931,-6.269425,40
100,103,GRANGEGORMAN LOWER (SOUTH),Grangegorman Lower (South),53.354664,-6.278681,40
101,104,GRANGEGORMAN LOWER (CENTRAL),Grangegorman Lower (Central),53.355171,-6.278424,40
102,105,GRANGEGORMAN LOWER (NORTH),Grangegorman Lower (North),53.355953,-6.278378,36
103,106,RATHDOWN ROAD,Rathdown Road,53.358929,-6.280337,40
104,107,CHARLEVILLE ROAD,Charleville Road,53.359158,-6.281866,40
105,108,AVONDALE ROAD,Avondale Road,53.359406,-6.276142,40
106,109,BUCKINGHAM STREET LOWER,Buckingham Street Lower,53.353333,-6.249319,29
107,110,PHIBSBOROUGH ROAD,Phibsborough Road,53.356308,-6.273717,40
108,111,MOUNTJOY SQUARE EAST,Mountjoy Square East,53.356716,-6.256359,40
109,112,NORTH CIRCULAR ROAD (O'CONNELL'S),North Circular Road (O'Connell's),53.357841,-6.251557,30
110,113,MERRION SQUARE SOUTH,Merrion Square South,53.338615,-6.248606,40
111,114,WILTON TERRACE (PARK),Wilton Terrace (Park),53.333652,-6.248345,40
112,115,KILLARNEY STREET,Killarney Street,53.354843,-6.247579,30
